,0,n,e,r,s
gei,0.07692307692307693,0.8461538461538461,0.07692307692307693,0.0,0.0
oxe,0.0,0.984375,0.0,0.0,0.015625
öge,0.06521739130434782,0.9347826086956522,0.0,0.0,0.0
dgr,0.0,1.0,0.0,0.0,0.0
boß,0.0,0.125,0.875,0.0,0.0
rze,0.18149466192170818,0.8149466192170819,0.0035587188612099642,0.0,0.0
näl,0.0,1.0,0.0,0.0,0.0
vie,0.8571428571428571,0.047619047619047616,0.0,0.0,0.09523809523809523
nko,0.0,0.9230769230769231,0.0,0.0,0.07692307692307693
fee,0.0,0.7,0.0,0.0,0.3
eiz,0.010362694300518135,0.23834196891191708,0.7512953367875648,0.0,0.0
kie,0.0,0.013559322033898305,0.0,0.0,0.9864406779661017
kur,0.0,0.5555555555555556,0.4444444444444444,0.0,0.0
rga,1.0,0.0,0.0,0.0,0.0
hnt,0.0,0.6717948717948717,0.3282051282051282,0.0,0.0
hof,0.009174311926605505,0.47706422018348627,0.47706422018348627,0.0,0.03669724770642202
ürm,0.0,0.35294117647058826,0.6470588235294118,0.0,0.0
itz,0.027624309392265192,0.5276243093922652,0.4447513812154696,0.0,0.0
ntu,1.0,0.0,0.0,0.0,0.0
kat,0.00487012987012987,0.2159090909090909,0.7678571428571429,0.0,0.011363636363636364
lin,0.002824858757062147,0.4717514124293785,0.3757062146892655,0.0,0.1497175141242938
äre,0.5733333333333334,0.4266666666666667,0.0,0.0,0.0
ohr,0.003076923076923077,0.7507692307692307,0.24615384615384617,0.0,0.0
-64,1.0,0.0,0.0,0.0,0.0
020,1.0,0.0,0.0,0.0,0.0
ass,0.1794871794871795,0.3333333333333333,0.26666666666666666,0.18974358974358974,0.03076923076923077
abo,0.5434782608695652,0.0,0.0,0.0,0.45652173913043476
fil,0.004615384615384616,0.08,0.9061538461538462,0.0,0.009230769230769232
nom,0.19444444444444445,0.75,0.041666666666666664,0.013888888888888888,0.0
rit,0.07868852459016394,0.8721311475409836,0.006557377049180328,0.0,0.04262295081967213
üss,0.0,0.9,0.1,0.0,0.0
zie,0.0,0.9166666666666666,0.0,0.0,0.08333333333333333
eln,0.9064587973273942,0.066815144766147,0.022271714922048998,0.0,0.004454342984409799
rst,0.08292682926829269,0.7804878048780488,0.13170731707317074,0.0,0.004878048780487805
ios,1.0,0.0,0.0,0.0,0.0
exe,0.6351351351351351,0.36486486486486486,0.0,0.0,0.0
cer,0.3063583815028902,0.6589595375722543,0.0,0.0,0.03468208092485549
dal,0.010309278350515464,0.36082474226804123,0.6288659793814433,0.0,0.0
out,0.08502024291497975,0.19838056680161945,0.044534412955465584,0.0,0.6720647773279352
uke,0.2,0.8,0.0,0.0,0.0
orf,0.00909090909090909,0.33636363636363636,0.0,0.6545454545454545,0.0
des,0.974025974025974,0.025974025974025976,0.0,0.0,0.0
erg,0.002061855670103093,0.5030927835051546,0.4845360824742268,0.002061855670103093,0.008247422680412371
aie,0.015384615384615385,0.9846153846153847,0.0,0.0,0.0
ogs,0.9940119760479041,0.0,0.0,0.0,0.005988023952095809
rve,0.0,0.9971428571428571,0.0,0.002857142857142857,0.0
ord,0.00463678516228748,0.03245749613601236,0.10510046367851623,0.03863987635239567,0.8191653786707882
ool,0.06825396825396825,0.004761904761904762,0.0015873015873015873,0.0015873015873015873,0.9238095238095239
äle,0.2774869109947644,0.7225130890052356,0.0,0.0,0.0
qet,0.0,0.0,0.0,0.0,1.0
